"","lote_id","finca_id","lat","lng","area","pbc","sem","c_year","mean_pbc"
"223",563,54,7.7881525162,-76.7126118583,3.02,3003.56,"01","2018",2556.64773660714
"224",564,54,7.78778615669,-76.7115307702,2.04,1385.6,"01","2018",1994.7347309417
"225",568,54,7.78487241365,-76.7142141245,8,893.948,"01","2018",8205.1503539823
"226",585,54,7.77736762688,-76.7059272577,11.85,612.164,"01","2018",12338.7413822222
"227",586,54,7.77777917526,-76.7052460242,11.45,6460.832,"01","2018",11199.4425688889
"228",617,55,7.96896204069,-76.6538716726,3.54,2905.776,"01","2018",5039.01385534591
"229",618,55,7.96783835671,-76.6545346431,4.66,3756.707,"01","2018",6366.0532345679
"230",619,55,7.96677777236,-76.6556618932,7.24,7153.661,"01","2018",9837.38430573248
"231",620,55,7.96589706037,-76.6555794288,7.89,4166.164,"01","2018",10690.1298571429
"232",650,54,7.76719175266,-76.7131131614,4.58,1088.44,"01","2018",4607.8695212766
"233",651,54,7.76811265274,-76.7131403465,4.4,4082.384,"01","2018",4086.80755614973
"234",652,54,7.76902903078,-76.7131964933,4.44,1717.628,"01","2018",4197.66694475138
"235",653,54,7.76994763887,-76.7132466385,3.85,3353.348,"01","2018",3401.90749431818
"236",654,54,7.77081452559,-76.7133862815,4.08,6503.932,"01","2018",3847.54819883041
"237",655,54,7.77171585781,-76.7135150895,4.03,5485.28,"01","2018",3973.48208938547
"238",853,71,7.81135504604,-76.7342591546,2.85,2209.154,"01","2018",4295.75845578231
"239",854,71,7.81189156004,-76.7353222988,3.25,2866.784,"01","2018",4154.36760248447
"240",856,71,7.80711721897,-76.732371153,5.38,4584.793,"01","2018",6618.63865771812
"241",857,71,7.80742805456,-76.7333206513,5.02,7133.931,"01","2018",6694.24085234899
"242",858,71,7.80795406669,-76.7342707479,4.96,13133.581,"01","2018",6775.88980645161
"243",859,71,7.80765222655,-76.7350711091,2.23,2649.801,"01","2018",3288.41541428571
"244",860,71,7.80765369049,-76.7373144902,2.91,4752.192,"01","2018",2851.108
"245",861,71,7.80823559086,-76.7371730159,3.69,894.445,"01","2018",3708.33879775281
"246",863,71,7.80995761418,-76.7368789842,3.69,6457.363,"01","2018",3809.47935195531
"247",1124,71,7.81140519814,-76.7360274254,4.06,10241.549,"01","2018",3781.49864117647
"248",1169,60,7.89486995195,-76.6776725768,8.964,2156.458,"01","2018",9087.42625757576
"249",1170,60,7.89414594019,-76.6786190158,7.47,1078.548,"01","2018",7362.1468030303
"250",1171,60,7.89373762296,-76.6796169592,4.873,3753.946,"01","2018",4427.99732307692
"251",1172,60,7.88629336026,-76.6716545585,7.248,2801.838,"01","2018",7929.96865625
"252",1174,60,7.88705573206,-76.6740431708,7.616,5838.108,"01","2018",8863.67753030303
"253",1175,60,7.88762183394,-76.6748924267,9.296,678.596,"01","2018",11876.1572923077
"254",1176,60,7.88762131314,-76.6758251305,9.43,5758.02,"01","2018",10322.9037076923
"255",1177,60,7.88731953227,-76.6767010301,9.552,4074.772,"01","2018",10114.4075846154
"256",1178,60,7.88692252541,-76.6778273625,10.257,1250.756,"01","2018",10343.2502461538
"257",72,27,7.76623098,-76.7626756,8.5,3792.5,"02","2018",8705.53025
"258",611,55,7.9612549321,-76.6614699618,6.74,2174.9,"04","2018",7089.54330316742
"259",612,55,7.96216713255,-76.6615198205,6.48,8250.15,"04","2018",6813.14671621622
"260",613,55,7.96307377653,-76.6615642144,6.18,2277.1,"04","2018",6898.49473636364
"261",614,55,7.96397350978,-76.6616122745,6,2104.4,"04","2018",6643.4798018018
"262",71,27,7.76783617,-76.7648217,8.327,2341.5,"05","2018",9798.9142923913
"263",479,51,7.95801179,-76.629108085,2.45,1830,"05","2018",3067.77708849558
"264",482,51,7.961069855,-76.62948819,1.74,1592.9,"05","2018",2415.33031390135
"265",486,51,7.962988905,-76.626915565,3.24,4580.3,"05","2018",4689.92961674009
"266",488,51,7.96366946,-76.623878135,3.89,4067.2,"05","2018",5232.9738377193
"267",489,51,7.96077033,-76.62396331,5.97,8128.5,"05","2018",9191.666969163
"268",542,53,7.95451308793,-76.6987991598,5.3,3420.5,"05","2018",6182.39245098039
"269",543,53,7.95540620275,-76.6987615832,5.6,2467.15,"05","2018",6873.17655665025
